"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://ditex.com.pl/dynamicroll-food-inox/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/dynamicroll-food-inox/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/dynamicroll-cb-125/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/dynamicroll-cb-125/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/blog/odkryj-nowosc-w-naszej-ofercie-super-szybki-automat-do-bram-przesuwnych/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/blog/odkryj-nowosc-w-naszej-ofercie-super-szybki-automat-do-bram-przesuwnych/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/dynamicroll-ms-150/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/dynamicroll-ms-150/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/dynamicroll-food-pe/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/dynamicroll-food-pe/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/dynamicroll-frigo-1-air/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/dynamicroll-frigo-1-air/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/dynamicroll-dynaseal/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
